start, end, total
0,0,33
1,20,133
42,64,34
65,93,42
95,130,43
131,213,26
242,447,19
461,597,21
598,833,20
871,1722,19
1833,2903,20
3004,5442,19
5640,12410,19
13138,27551,20
28228,417839,20
