(0, (0, 33))
(0, (1, 5))
(0, (2, 19))
(0, (3, 19))
(0, (4, 10))
(0, (5, 12))
(0, (6, 4))
(0, (7, 13))
(0, (8, 7))
(0, (9, 8))
(0, (10, 5))
(0, (11, 4))
(0, (12, 2))
(0, (13, 5))
(0, (15, 3))
(0, (17, 3))
(0, (18, 5))
(0, (19, 3))
(0, (20, 6))
(1, (21, 4))
(1, (22, 7))
(1, (23, 3))
(1, (24, 4))
(1, (25, 2))
(1, (26, 4))
(1, (27, 4))
(1, (29, 3))
(1, (30, 3))
(1, (31, 4))
(1, (32, 5))
(1, (33, 1))
(1, (35, 1))
(1, (36, 2))
(1, (37, 2))
(1, (38, 4))
(1, (39, 1))
(1, (40, 1))
(1, (41, 1))
(2, (42, 1))
(2, (43, 1))
(2, (44, 2))
(2, (45, 2))
(2, (46, 1))
(2, (47, 1))
(2, (48, 2))
(2, (49, 1))
(2, (50, 1))
(2, (51, 3))
(2, (52, 2))
(2, (53, 2))
(2, (54, 3))
(2, (56, 2))
(2, (57, 3))
(2, (59, 4))
(2, (61, 1))
(2, (63, 1))
(2, (64, 1))
(3, (65, 2))
(3, (67, 2))
(3, (68, 3))
(3, (69, 5))
(3, (70, 2))
(3, (71, 4))
(3, (73, 5))
(3, (74, 2))
(3, (75, 5))
(3, (76, 1))
(3, (78, 3))
(3, (79, 1))
(3, (80, 2))
(3, (82, 1))
(3, (86, 1))
(3, (87, 1))
(3, (88, 1))
(3, (93, 1))
(4, (95, 2))
(4, (99, 1))
(4, (100, 1))
(4, (102, 2))
(4, (103, 1))
(4, (107, 1))
(4, (109, 1))
(4, (112, 1))
(4, (114, 1))
(4, (115, 1))
(4, (119, 1))
(4, (123, 2))
(4, (124, 4))
(4, (125, 5))
(4, (126, 3))
(4, (127, 5))
(4, (128, 6))
(4, (129, 2))
(4, (130, 3))
(5, (131, 2))
(5, (132, 1))
(5, (133, 2))
(5, (135, 1))
(5, (136, 3))
(5, (137, 2))
(5, (139, 2))
(5, (146, 1))
(5, (152, 1))
(5, (155, 2))
(5, (156, 1))
(5, (160, 1))
(5, (164, 1))
(5, (168, 1))
(5, (170, 1))
(5, (184, 1))
(5, (185, 1))
(5, (211, 1))
(5, (213, 1))
(6, (242, 1))
(6, (254, 1))
(6, (257, 1))
(6, (274, 1))
(6, (276, 1))
(6, (280, 1))
(6, (283, 1))
(6, (298, 1))
(6, (306, 1))
(6, (309, 1))
(6, (316, 1))
(6, (392, 1))
(6, (394, 1))
(6, (405, 1))
(6, (429, 1))
(6, (438, 1))
(6, (440, 1))
(6, (445, 1))
(6, (447, 1))
(7, (461, 1))
(7, (470, 1))
(7, (479, 2))
(7, (493, 1))
(7, (494, 2))
(7, (495, 1))
(7, (496, 1))
(7, (497, 1))
(7, (499, 1))
(7, (505, 1))
(7, (507, 1))
(7, (509, 1))
(7, (513, 2))
(7, (514, 1))
(7, (564, 1))
(7, (572, 1))
(7, (573, 1))
(7, (597, 1))
(8, (598, 1))
(8, (608, 1))
(8, (617, 1))
(8, (619, 1))
(8, (657, 1))
(8, (659, 1))
(8, (690, 1))
(8, (718, 1))
(8, (722, 1))
(8, (724, 1))
(8, (748, 1))
(8, (753, 1))
(8, (754, 2))
(8, (767, 1))
(8, (768, 1))
(8, (801, 1))
(8, (804, 1))
(8, (825, 1))
(8, (833, 1))
(9, (871, 1))
(9, (884, 1))
(9, (892, 1))
(9, (914, 1))
(9, (976, 1))
(9, (1023, 1))
(9, (1101, 1))
(9, (1105, 1))
(9, (1143, 1))
(9, (1183, 1))
(9, (1353, 1))
(9, (1399, 1))
(9, (1530, 1))
(9, (1567, 1))
(9, (1572, 1))
(9, (1576, 1))
(9, (1583, 1))
(9, (1689, 1))
(9, (1722, 1))
(10, (1833, 1))
(10, (1900, 1))
(10, (1929, 1))
(10, (1992, 1))
(10, (2131, 1))
(10, (2163, 1))
(10, (2312, 1))
(10, (2354, 1))
(10, (2367, 1))
(10, (2369, 1))
(10, (2420, 1))
(10, (2422, 1))
(10, (2451, 1))
(10, (2531, 1))
(10, (2564, 1))
(10, (2616, 1))
(10, (2647, 2))
(10, (2901, 1))
(10, (2903, 1))
(11, (3004, 1))
(11, (3234, 1))
(11, (3284, 1))
(11, (3362, 2))
(11, (3371, 1))
(11, (3372, 1))
(11, (3508, 1))
(11, (3602, 1))
(11, (3995, 1))
(11, (4024, 1))
(11, (4156, 1))
(11, (4389, 1))
(11, (4402, 1))
(11, (4667, 1))
(11, (5224, 1))
(11, (5255, 1))
(11, (5333, 1))
(11, (5442, 1))
(12, (5640, 1))
(12, (5691, 1))
(12, (5702, 1))
(12, (5768, 1))
(12, (6392, 1))
(12, (6671, 1))
(12, (6784, 1))
(12, (6810, 1))
(12, (6950, 1))
(12, (7760, 1))
(12, (7797, 1))
(12, (7859, 1))
(12, (8040, 1))
(12, (8265, 1))
(12, (8497, 1))
(12, (9108, 1))
(12, (11845, 1))
(12, (11935, 1))
(12, (12410, 1))
(13, (13138, 1))
(13, (13205, 1))
(13, (13471, 1))
(13, (14264, 1))
(13, (14501, 1))
(13, (14700, 2))
(13, (15166, 1))
(13, (15644, 1))
(13, (17231, 1))
(13, (17396, 1))
(13, (18100, 1))
(13, (21767, 1))
(13, (22997, 1))
(13, (23383, 1))
(13, (25214, 1))
(13, (25461, 1))
(13, (25893, 1))
(13, (26568, 1))
(13, (27551, 1))
(14, (28228, 1))
(14, (28452, 1))
(14, (28802, 1))
(14, (29525, 1))
(14, (29563, 1))
(14, (33370, 1))
(14, (36671, 1))
(14, (37022, 1))
(14, (37200, 1))
(14, (37349, 1))
(14, (38305, 1))
(14, (40115, 1))
(14, (43057, 1))
(14, (88160, 1))
(14, (203979, 1))
(14, (256412, 1))
(14, (384135, 1))
(14, (384627, 2))
(14, (417839, 2))
